,Name,Fullname,Birthday,Birthplace,Political Party,Education
81,Richard Nixon,Richard Milhous Nixon,"January 9, 1913","Yorba Linda, California, U.S.",Republican,"
Whittier College (BA)
Duke University (JD)
"
82,Dan Quayle,James Danforth Quayle,"February 4, 1947","Indianapolis , Indiana",Republican,"DePauw University (BA)Indiana University, Indianapolis (JD)"
83,Nelson Rockefeller,Nelson Aldrich Rockefeller,"July 8, 1908","Bar Harbor, Maine, U.S.",Republican,Dartmouth College (BA)
84,Theodore Roosevelt,Theodore Roosevelt Jr.,"October 27, 1858","New York City, U.S.",Republican,Harvard University (AB)Columbia Law School
85,James S. Sherman,James Schoolcraft Sherman,"October 24, 1855","Utica, New York U.S.",Republican,"Hamilton College, New York (BA)"
86,Harry S. Truman,Harry S. Truman,"May 8, 1884","Lamar, Missouri, U.S.",Democratic,"
Spalding's Commercial College
UMKC School of Law (withdrew)
"
87,Henry A. Wallace,Henry Agard Wallace,"October 7, 1888","Orient, Iowa, U.S.",Republican,Iowa State University (BS)
88,Joe Biden,Joseph Robinette Biden Jr.,"November 20, 1942","Scranton, Pennsylvania, U.S.",Democratic,"
University of Delaware (BA)
Syracuse University (JD)
"
89,Dick Cheney,Richard Bruce Cheney,"January 30, 1941","Lincoln, Nebraska, U.S.",Republican,"Yale University (no degree) 
University of Wyoming (BA, MA)

University of Wisconsin-Madison (no degree)"
90,Al Gore,Albert Arnold Gore Jr.,"March 31, 1948","Washington, D.C., U.S.",Democratic,Harvard University (BA)Vanderbilt University (no degree)
91,Kamala Harris,Kamala Devi Harris[a],"October 20, 1964","[a] , Oakland, California",Democratic,"
Howard University (BA)
University of California, Hastings (JD)
"
92,Mike Pence,Michael Richard Pence,"June 7, 1959","Columbus, Indiana, U.S.",Republican,Hanover College (BA)Indiana University–Purdue University Indianapolis (JD)
